"","year","wolves","moose"
"1",1959,20,538
"2",1960,22,564
"3",1961,22,572
"4",1962,23,579
"5",1963,20,596
"6",1964,26,620
"7",1965,28,634
"8",1966,26,661
"9",1967,22,766
"10",1968,22,848
"11",1969,17,1041
"12",1970,18,1045
"13",1971,20,1183
"14",1972,23,1243
"15",1973,24,1215
"16",1974,31,1203
"17",1975,41,1139
"18",1976,44,1070
"19",1977,34,949
"20",1978,40,845
"21",1979,43,857
"22",1980,50,788
"23",1981,30,767
"24",1982,14,780
"25",1983,23,830
"26",1984,24,927
"27",1985,22,976
"28",1986,20,1014
"29",1987,16,1046
"30",1988,12,1116
"31",1989,12,1260
"32",1990,15,1315
"33",1991,12,1496
"34",1992,12,1697
"35",1993,13,1784
"36",1994,17,2017
"37",1995,16,2117
"38",1996,22,2398
"39",1997,24,900
"40",1998,14,925
"41",1999,25,997
"42",2000,29,1031
"43",2001,19,1120
"44",2002,17,1100
"45",2003,19,900
"46",2004,29,750
"47",2005,30,540
"48",2006,30,450
"49",2007,21,385
"50",2008,23,650
"51",2009,24,530
"52",2010,19,510
"53",2011,16,515
"54",2012,9,750
"55",2013,8,975
"56",2014,9,1050
"57",2015,3,1250
"58",2016,2,1300
"59",2017,2,1600
"60",2018,2,1475
"61",2019,15,2060
